regionID,value,simulation
0,4.26,1
1,1.96,1
10,14.03,1
11,4.23,1
12,18.21,1
13,3.9,1
14,28.74,1
15,43.76,1
16,11.91,1
17,16.19,1
2,1.96,1
3,4.12,1
4,21.25,1
5,3.21,1
6,16.2,1
7,2.83,1
8,14.37,1
9,6.89,1
0,2.02,2
1,1.04,2
10,6.69,2
11,8.94,2
12,13.54,2
13,3.23,2
14,10.01,2
15,5.66,2
16,1.05,2
17,2.69,2
2,0.28,2
3,2.11,2
4,6.05,2
5,12.38,2
6,16.53,2
7,4.77,2
8,5.33,2
9,0.57,2
0,1.27,3
1,0.05,3
10,28.08,3
11,23.09,3
12,19.01,3
13,8.84,3
14,10.08,3
15,7.3,3
16,3.77,3
17,4.65,3
2,0.18,3
3,1.32,3
4,7.42,3
5,1.29,3
6,6.12,3
7,0.8,3
8,2.5,3
9,0.22,3
0,0.33,4
1,0.32,4
10,22.62,4
11,8.99,4
12,16.94,4
13,10.37,4
14,14.53,4
15,14.42,4
16,6.23,4
17,7.66,4
2,0.38,4
3,2.04,4
4,12.8,4
5,9.52,4
6,31.98,4
7,2.53,4
8,22.2,4
9,5.03,4
0,15.24,5
1,15.9,5
10,9.54,5
11,13.74,5
12,6.81,5
13,13.38,5
14,18.62,5
15,15.05,5
16,2.13,5
17,9.61,5
2,12.08,5
3,15.44,5
4,17.61,5
5,16.97,5
6,18.19,5
7,16.39,5
8,15.32,5
9,8.73,5
0,18.91,6
1,21.24,6
10,14.12,6
11,19.31,6
12,6.91,6
13,16.34,6
14,20.73,6
15,22.4,6
16,2.67,6
17,14.29,6
2,16.06,6
3,18.5,6
4,20.72,6
5,18.0,6
6,19.86,6
7,20.62,6
8,18.9,6
9,8.49,6
0,6.93,7
1,9.33,7
10,16.51,7
11,12.34,7
12,8.7,7
13,11.08,7
14,35.85,7
15,45.69,7
16,3.53,7
17,15.4,7
2,3.43,7
3,19.31,7
4,33.46,7
5,25.07,7
6,40.37,7
7,18.49,7
8,27.45,7
9,7.15,7
0,2.81,8
1,0.4,8
10,21.9,8
11,41.6,8
12,16.08,8
13,11.47,8
14,4.48,8
15,5.58,8
16,4.68,8
17,5.01,8
2,0.58,8
3,0.67,8
4,4.05,8
5,0.47,8
6,2.22,8
7,0.43,8
8,3.06,8
9,0.89,8
0,1.45,9
1,0.96,9
10,19.35,9
11,10.91,9
12,20.08,9
13,1.72,9
14,12.06,9
15,32.49,9
16,5.78,9
17,10.88,9
2,0.32,9
3,12.88,9
4,17.01,9
5,9.63,9
6,25.44,9
7,3.42,9
8,22.75,9
9,4.99,9
0,15.0,10
1,21.62,10
10,7.83,10
11,6.92,10
12,4.48,10
13,6.58,10
14,8.29,10
15,8.9,10
16,0.53,10
17,5.91,10
2,12.21,10
3,10.25,10
4,11.7,10
5,14.35,10
6,11.63,10
7,12.7,10
8,9.86,10
9,3.52,10
0,16.23,11
1,19.48,11
10,12.41,11
11,8.83,11
12,8.26,11
13,7.39,11
14,11.6,11
15,17.01,11
16,2.08,11
17,9.07,11
2,12.31,11
3,17.0,11
4,16.17,11
5,15.96,11
6,18.36,11
7,15.93,11
8,15.39,11
9,5.65,11
0,13.02,12
1,17.01,12
10,10.9,12
11,10.61,12
12,9.91,12
13,4.9,12
14,25.32,12
15,35.52,12
16,1.57,12
17,12.13,12
2,5.24,12
3,24.1,12
4,26.08,12
5,25.48,12
6,38.27,12
7,22.56,12
8,29.15,12
9,3.94,12
0,6.78,13
1,4.44,13
10,8.5,13
11,6.09,13
12,11.11,13
13,6.39,13
14,44.83,13
15,29.59,13
16,3.75,13
17,6.06,13
2,2.43,13
3,6.02,13
4,30.2,13
5,5.19,13
6,23.17,13
7,5.87,13
8,13.48,13
9,6.8,13
0,0.5,14
1,1.78,14
10,20.68,14
11,13.21,14
12,13.43,14
13,10.64,14
14,30.12,14
15,23.65,14
16,4.54,14
17,9.38,14
2,0.74,14
3,6.57,14
4,26.33,14
5,21.14,14
6,33.85,14
7,5.73,14
8,27.71,14
9,5.02,14
0,16.54,15
1,19.26,15
10,7.72,15
11,15.63,15
12,4.66,15
13,14.36,15
14,23.53,15
15,15.95,15
16,1.12,15
17,10.46,15
2,12.35,15
3,15.3,15
4,19.79,15
5,18.35,15
6,19.85,15
7,18.54,15
8,16.08,15
9,6.98,15
0,21.48,16
1,23.61,16
10,8.61,16
11,15.29,16
12,7.63,16
13,15.65,16
14,26.38,16
15,20.92,16
16,3.28,16
17,16.53,16
2,16.14,16
3,17.33,16
4,22.44,16
5,19.28,16
6,21.06,16
7,19.32,16
8,18.43,16
9,5.75,16
0,8.05,17
1,14.17,17
10,11.33,17
11,19.99,17
12,4.5,17
13,9.94,17
14,34.3,17
15,32.99,17
16,1.37,17
17,10.0,17
2,3.83,17
3,24.05,17
4,37.34,17
5,31.13,17
6,38.32,17
7,18.77,17
8,27.26,17
9,6.43,17
0,3.56,18
1,0.53,18
10,28.98,18
11,39.21,18
12,15.05,18
13,18.25,18
14,5.77,18
15,7.4,18
16,6.11,18
17,5.55,18
2,0.78,18
3,0.68,18
4,6.37,18
5,0.66,18
6,2.17,18
7,0.62,18
8,2.38,18
9,0.79,18
0,1.21,19
1,3.21,19
10,31.15,19
11,28.61,19
12,27.79,19
13,8.62,19
14,14.97,19
15,38.89,19
16,6.7,19
17,14.26,19
2,1.25,19
3,13.58,19
4,25.6,19
5,46.97,19
6,51.45,19
7,13.48,19
8,22.06,19
9,5.23,19
0,13.7,20
1,25.63,20
10,7.64,20
11,7.75,20
12,5.42,20
13,5.23,20
14,8.47,20
15,9.95,20
16,0.57,20
17,5.82,20
2,10.23,20
3,8.52,20
4,13.14,20
5,16.25,20
6,13.33,20
7,11.76,20
8,10.84,20
9,3.32,20
0,17.13,21
1,19.95,21
10,13.42,21
11,10.32,21
12,10.96,21
13,8.13,21
14,12.98,21
15,17.61,21
16,4.26,21
17,8.71,21
2,10.92,21
3,15.3,21
4,18.47,21
5,16.99,21
6,18.21,21
7,14.28,21
8,17.09,21
9,7.84,21
0,13.4,22
1,19.72,22
10,13.37,22
11,12.26,22
12,11.5,22
13,5.35,22
14,22.83,22
15,26.16,22
16,1.47,22
17,10.97,22
2,5.36,22
3,24.92,22
4,34.52,22
5,27.13,22
6,40.81,22
7,22.75,22
8,27.28,22
9,4.15,22
0,4.69,23
1,2.13,23
10,4.52,23
11,12.66,23
12,11.61,23
13,21.33,23
14,35.58,23
15,40.29,23
16,0.91,23
17,11.24,23
2,1.84,23
3,3.56,23
4,11.6,23
5,3.38,23
6,26.81,23
7,2.62,23
8,9.66,23
9,5.21,23
0,0.25,24
1,0.43,24
10,12.34,24
11,7.47,24
12,19.75,24
13,31.84,24
14,32.19,24
15,42.01,24
16,10.47,24
17,15.04,24
2,1.2,24
3,5.41,24
4,13.63,24
5,8.42,24
6,22.57,24
7,5.02,24
8,25.11,24
9,9.83,24
0,8.82,25
1,9.42,25
10,7.72,25
11,12.24,25
12,5.38,25
13,10.11,25
14,14.49,25
15,10.31,25
16,2.18,25
17,7.58,25
2,5.29,25
3,7.72,25
4,14.13,25
5,11.04,25
6,12.77,25
7,8.2,25
8,8.56,25
9,6.81,25
0,9.4,26
1,12.26,26
10,7.15,26
11,15.01,26
12,4.43,26
13,12.15,26
14,16.11,26
15,15.81,26
16,2.21,26
17,12.4,26
2,7.66,26
3,9.49,26
4,17.71,26
5,15.54,26
6,17.0,26
7,12.14,26
8,13.74,26
9,10.86,26
0,10.56,27
1,10.55,27
10,9.99,27
11,14.92,27
12,4.73,27
13,20.76,27
14,67.67,27
15,43.4,27
16,0.69,27
17,9.02,27
2,3.67,27
3,13.24,27
4,35.4,27
5,24.83,27
6,50.89,27
7,12.55,27
8,35.98,27
9,7.84,27
0,2.86,28
1,0.41,28
10,2.35,28
11,6.62,28
12,3.45,28
13,13.77,28
14,2.13,28
15,2.8,28
16,1.3,28
17,2.32,28
2,0.75,28
3,0.19,28
4,3.09,28
5,0.51,28
6,1.24,28
7,0.17,28
8,1.61,28
9,0.08,28
0,2.48,29
1,2.04,29
10,12.23,29
11,18.2,29
12,7.04,29
13,17.49,29
14,33.15,29
15,21.91,29
16,5.97,29
17,6.31,29
2,1.45,29
3,2.87,29
4,24.22,29
5,24.05,29
6,45.82,29
7,4.52,29
8,11.29,29
9,2.89,29
0,7.87,30
1,14.24,30
10,6.36,30
11,7.87,30
12,1.66,30
13,5.29,30
14,8.68,30
15,9.07,30
16,0.31,30
17,4.22,30
2,9.36,30
3,9.8,30
4,13.76,30
5,16.65,30
6,15.63,30
7,11.14,30
8,10.24,30
9,3.68,30
0,1.92,31
1,10.13,31
10,9.03,31
11,16.33,31
12,3.55,31
13,9.18,31
14,18.08,31
15,18.27,31
16,0.95,31
17,8.94,31
2,5.33,31
3,13.64,31
4,23.49,31
5,19.7,31
6,20.76,31
7,11.89,31
8,17.59,31
9,7.79,31
0,18.35,32
1,17.95,32
10,7.78,32
11,15.72,32
12,4.52,32
13,4.96,32
14,14.35,32
15,17.96,32
16,0.86,32
17,5.79,32
2,5.13,32
3,13.25,32
4,32.73,32
5,28.8,32
6,29.81,32
7,18.73,32
8,26.05,32
9,3.79,32
0,5.5,33
1,4.1,33
10,8.88,33
11,9.38,33
12,16.03,33
13,12.73,33
14,34.28,33
15,23.12,33
16,21.32,33
17,11.33,33
2,1.5,33
3,11.2,33
4,24.89,33
5,4.83,33
6,13.91,33
7,2.77,33
8,16.7,33
9,7.23,33
0,2.23,34
1,3.89,34
10,21.3,34
11,6.17,34
12,15.79,34
13,7.58,34
14,25.8,34
15,13.18,34
16,25.09,34
17,9.47,34
2,3.79,34
3,4.59,34
4,15.36,34
5,2.46,34
6,8.04,34
7,4.18,34
8,13.0,34
9,3.78,34
0,2.77,35
1,3.72,35
10,5.9,35
11,3.65,35
12,12.75,35
13,3.94,35
14,16.34,35
15,10.85,35
16,8.93,35
17,8.95,35
2,1.89,35
3,3.78,35
4,10.23,35
5,4.74,35
6,13.06,35
7,3.84,35
8,9.6,35
9,1.97,35
0,4.24,36
1,13.13,36
10,3.16,36
11,8.52,36
12,10.06,36
13,7.5,36
14,16.28,36
15,5.6,36
16,5.84,36
17,7.96,36
2,2.83,36
3,3.9,36
4,17.52,36
5,12.32,36
6,17.89,36
7,10.69,36
8,6.56,36
9,1.6,36
0,9.09,37
1,2.26,37
10,16.15,37
11,16.53,37
12,13.65,37
13,23.69,37
14,48.04,37
15,39.73,37
16,29.26,37
17,24.44,37
2,1.37,37
3,8.01,37
4,34.13,37
5,5.18,37
6,32.23,37
7,5.62,37
8,26.05,37
9,19.69,37
0,1.27,38
1,0.05,38
10,28.08,38
11,23.09,38
12,19.01,38
13,8.84,38
14,10.08,38
15,7.3,38
16,3.77,38
17,4.65,38
2,0.18,38
3,1.32,38
4,7.42,38
5,1.29,38
6,6.12,38
7,0.8,38
8,2.5,38
9,0.22,38
0,2.19,39
1,1.61,39
10,14.4,39
11,14.65,39
12,21.68,39
13,4.94,39
14,15.79,39
15,22.76,39
16,1.95,39
17,8.81,39
2,1.03,39
3,9.4,39
4,25.91,39
5,16.42,39
6,24.11,39
7,5.9,39
8,12.48,39
9,3.05,39
0,12.84,40
1,18.41,40
10,10.27,40
11,7.58,40
12,5.61,40
13,6.02,40
14,10.88,40
15,10.17,40
16,0.87,40
17,5.28,40
2,6.76,40
3,7.88,40
4,13.61,40
5,13.68,40
6,13.85,40
7,11.99,40
8,10.42,40
9,2.36,40
